directory, treatment, target, newcov,  oldcov, newtssize, origtsize
/scratch/alipour/replica2/src/6/45/no_swarm,no_swarm,20080,54,15,543,2610
/scratch/alipour/replica2/src/6/45/half_swarm,half_swarm,20080,7,15,510,2610
/scratch/alipour/replica2/src/6/46/half_swarm,half_swarm,31104,2,23,522,2610
/scratch/alipour/replica2/src/6/47/half_swarm,half_swarm,20820,1,7,521,2610
/scratch/alipour/replica2/src/6/48/half_swarm,half_swarm,24423,3,21,513,2610
/scratch/alipour/replica2/src/6/49/no_swarm,no_swarm,18646,56,34,406,2610
/scratch/alipour/replica2/src/6/49/half_swarm,half_swarm,18646,13,34,527,2610
/scratch/alipour/replica2/src/7/0/no_swarm,no_swarm,16068,35,4,461,1612
/scratch/alipour/replica2/src/7/0/half_swarm,half_swarm,16068,0,4,523,1612
/scratch/alipour/replica2/src/7/1/half_swarm,half_swarm,32462,2,2,538,1612
/scratch/alipour/replica2/src/7/2/no_swarm,no_swarm,3282,77,3,517,1612
/scratch/alipour/replica2/src/7/2/half_swarm,half_swarm,3282,0,3,555,1612
/scratch/alipour/replica2/src/7/3/half_swarm,half_swarm,7111,22,55,522,1612
/scratch/alipour/replica2/src/7/4/no_swarm,no_swarm,28602,14,16,372,1612
